Author	n (strains)	publication title	journal	publication URL	strains
Howard et al EH	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-000067484/2021, complete genome	unknown	unknown	USA/FL-CDC-STM-000067484/2021
Halatoko et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TGO/nmimr-TG-SARS-CoV-2-TGS-040-21/2021, complete genome	unknown	unknown	TGO/nmimr-TG-SARS-CoV-2-TGS-040-21/2021
Blankenship et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MI-MDHHS-SC30919/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/MI-MDHHS-SC30919/2021
Adu et al L	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-NTRA-15059/2020, complete genome	unknown	unknown	GHA/nmimr-SARS-CoV-2-NTRA-15059/2020
Githinji et al BU	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/KEN/CBRD-2117379/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	KEN/CBRD-2117379/2021
Adu et al M	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-NTRA-21-32121/2021, complete genome	unknown	unknown	GHA/nmimr-SARS-CoV-2-NTRA-21-32121/2021
Adu et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/nmimr-SARS-CoV-2-TRA-200/2021, complete genome	unknown	unknown	GHA/nmimr-SARS-CoV-2-TRA-200/2021
Howard et al EI	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-CDC-QDX26299873/2021, complete genome	unknown	unknown	USA/LA-CDC-QDX26299873/2021
Howard et al EJ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-STM-000067680/2021, complete genome	unknown	unknown	USA/TX-CDC-STM-000067680/2021
Howard et al EK	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV-CDC-LC0059675/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), truncated ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	USA/NV-CDC-LC0059675/2021
Vazquez et al AU	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102817_631775/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102817_631775/2021
Tsao et al M	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TWN/CGMH-CGU-55/2021, complete genome	unknown	unknown	TWN/CGMH-CGU-55/2021
Oliveira et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/PR-HF339/2021, complete genome	unknown	unknown	BRA/PR-HF339/2021
Guarischi et al AT	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NVBS2995GENOV827809509882/2021, complete genome	unknown	unknown	BRA/SP-NVBS2995GENOV827809509882/2021
Vazquez et al AV	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A631_202103341_2-4710542/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A631_202103341_2-4710542/2021
Guarischi et al AU	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/RJ-NXBS749GENOV807517858687/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BRA/RJ-NXBS749GENOV807517858687/2021
Guarischi et al AV	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NVBS855GENOV827641303570/2021, complete genome	unknown	unknown	BRA/SP-NVBS855GENOV827641303570/2021
Cunha et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/CD1739-P4/2020, complete genome	unknown	unknown	BRA/CD1739-P4/2020
Oliveira et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/PR-HF156/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BRA/PR-HF156/2021
Howard et al EL	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH-CDC-LC0041623/2021, complete genome	unknown	unknown	USA/OH-CDC-LC0041623/2021
Howard et al EM	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO-CDC-ASC210054735/2021, complete genome	unknown	unknown	USA/MO-CDC-ASC210054735/2021
Sobreiro et al K	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/GO-DNAGYN-214/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds	unknown	unknown	BRA/GO-DNAGYN-214/2021
Sobreiro et al L	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/GO-DNAGYN-247/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds	unknown	unknown	BRA/GO-DNAGYN-247/2021
Sobreiro et al M	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/GO-DNAGYN-218/2021, complete genome	unknown	unknown	BRA/GO-DNAGYN-218/2021
Sobreiro et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/GO-DNAGYN-213/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds	unknown	unknown	BRA/GO-DNAGYN-213/2021
Sobreiro et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/GO-DNAGYN-216/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds	unknown	unknown	BRA/GO-DNAGYN-216/2021
Howard et al EN	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH-CDC-LC0057384/2021, complete genome	unknown	unknown	USA/NH-CDC-LC0057384/2021
Vazquez et al AW	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102883_36182/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102883_36182/2021
Vazquez et al AX	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102895_57346/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102895_57346/2021
Vazquez et al AY	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102788_94871/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102788_94871/2021
Vazquez et al AZ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102969_94850/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102969_94850/2021
Vazquez et al BA	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A678_202103350_2-4710639/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A678_202103350_2-4710639/2021
Vazquez et al BB	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A868_202103450_202103450_2-4754126/2021, complete genome	unknown	unknown	PRY/WOR12903A868_202103450_202103450_2-4754126/2021
Vazquez et al BC	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A611_202103323_2-4710522/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A611_202103323_2-4710522/2021
Vazquez et al BD	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A859_202103465_202103465_2-4754117/2021, complete genome	unknown	unknown	PRY/WOR12903A859_202103465_202103465_2-4754117/2021
Vazquez et al BE	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102920_60573/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102920_60573/2021
Vazquez et al BF	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A646_202103329_2-4710607/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A646_202103329_2-4710607/2021
Vazquez et al BG	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102945_91551/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102945_91551/2021
Vazquez et al BH	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A849_202103374_202103374_2-4740147/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A849_202103374_202103374_2-4740147/2021
Pujol et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Mir761/2021, complete genome	unknown	unknown	VEN/Mir761/2021
Pujol et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Yar9463/2021, complete genome	unknown	unknown	VEN/Yar9463/2021
Howard et al EO	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OK-CDC-LC0067702/2021, complete genome	unknown	unknown	USA/OK-CDC-LC0067702/2021
Pujol et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Mir17/2021, complete genome	unknown	unknown	VEN/Mir17/2021
Pujol et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Dtt24/2021, complete genome	unknown	unknown	VEN/Dtt24/2021
Pujol et al H	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/DeA1365/2021, complete genome	unknown	unknown	VEN/DeA1365/2021
Pujol et al I	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Bol5332/2021, complete genome	unknown	unknown	VEN/Bol5332/2021
Pujol et al J	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Bol4715/2021, complete genome	unknown	unknown	VEN/Bol4715/2021
Pujol et al K	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Bol4720/2021, complete genome	unknown	unknown	VEN/Bol4720/2021
Pujol et al L	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Bol4717/2021, complete genome	unknown	unknown	VEN/Bol4717/2021
Pujol et al M	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Dtt54/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, complete cds; membrane glycoprotein (M) gene, partial cds; and ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	VEN/Dtt54/2021
Pujol et al N	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Ama1935/2021, complete genome	unknown	unknown	VEN/Ama1935/2021
Pujol et al O	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Dtt17/2021, complete genome	unknown	unknown	VEN/Dtt17/2021
Pujol et al P	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Mir6242/2021, complete genome	unknown	unknown	VEN/Mir6242/2021
Pujol et al Q	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Dtt292/2021, complete genome	unknown	unknown	VEN/Dtt292/2021
Pujol et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Car8286/2021, complete genome	unknown	unknown	VEN/Car8286/2021
Pujol et al S	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/VEN/Ara6800/2021, complete genome	unknown	unknown	VEN/Ara6800/2021
Pylro et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/2438/2021, complete genome	unknown	unknown	BRA/2438/2021
Li et al R	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/un-CDC-4051693-001/2021, complete genome	unknown	unknown	PER/un-CDC-4051693-001/2021
Oliveira et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/PR-HF305/2021, complete genome	unknown	unknown	BRA/PR-HF305/2021
Guarischi et al AW	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SC-NVBS1322GENOV45615229385/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BRA/SC-NVBS1322GENOV45615229385/2021
Olortegui et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/AFI00996/2021, complete genome	unknown	unknown	PER/AFI00996/2021
Pylro et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/1236/2021, complete genome	unknown	unknown	BRA/1236/2021
Guarischi et al AX	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NXBS1516GENOV45615157527/2021, complete genome	unknown	unknown	BRA/SP-NXBS1516GENOV45615157527/2021
Guarischi et al AY	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/RJ-NVBS627GENOV700906702717/2021, complete genome	unknown	unknown	BRA/RJ-NVBS627GENOV700906702717/2021
Guarischi et al AZ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/MS-NXBS323GENOV45614827513/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	BRA/MS-NXBS323GENOV45614827513/2021
Guarischi et al BA	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP-NXBS4933GENOV827953765301/2021, complete genome	unknown	unknown	BRA/SP-NXBS4933GENOV827953765301/2021
Vazquez et al BI	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A640_202103321_2-4710601/2021 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; and ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A640_202103321_2-4710601/2021
Vazquez et al BJ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102955_91854/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102955_91854/2021
Vazquez et al BK	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102946_91552/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102946_91552/2021
Vazquez et al BL	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A825_202103357_202103357_2-4740123/2021, complete genome	unknown	unknown	PRY/WOR12903A825_202103357_202103357_2-4740123/2021
Vazquez et al BM	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A624_202103320_2-4710535/2021, complete genome	unknown	unknown	PRY/WOR12903A624_202103320_2-4710535/2021
Vazquez et al BN	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A803_202103368_202103368_2-4740101/2021, complete genome	unknown	unknown	PRY/WOR12903A803_202103368_202103368_2-4740101/2021
Vazquez et al BO	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A664_202103314_2-4710625/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A664_202103314_2-4710625/2021
Vazquez et al BP	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A847_202103358_202103358_2-4740145/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A847_202103358_202103358_2-4740145/2021
Vazquez et al BQ	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A788_202103412_202103412_2-4740036/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A788_202103412_202103412_2-4740036/2021
Vazquez et al BR	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A807_202103429_202103429_2-4740105/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A807_202103429_202103429_2-4740105/2021
Vazquez et al BS	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/202102942_91514/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/202102942_91514/2021
Vazquez et al BT	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A785_202103355_202103355_2-4740033/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A785_202103355_202103355_2-4740033/2021
Vazquez et al BU	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A827_202103373_202103373_2-4740125/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A827_202103373_202103373_2-4740125/2021
