Author	n (strains)	publication title	journal	publication URL	strains
Sait et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS04/2020, complete genome	unknown	unknown	AUS/TAS04/2020
Sait et al F	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/TAS259/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/TAS259/2020
Seemann et al C	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC13/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/VIC13/2020
Gao et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS2/2020, complete genome	unknown	unknown	CHN/OS2/2020
Juscamayta et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PER/covper087/2020, complete genome	unknown	unknown	PER/covper087/2020
Vazquez et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A600_202103266_2-4710511/2020, complete genome	unknown	unknown	PRY/WOR12903A600_202103266_2-4710511/2020
Vazquez et al E	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PRY/WOR12903A659_202103274_2-4710620/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b gene, complete sequence; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	PRY/WOR12903A659_202103274_2-4710620/2020
Mercado-Reyes et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/COL/79256_Antioquia/2020, complete genome	unknown	unknown	COL/79256_Antioquia/2020
Panzera et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/URY/Mdeo-1/2020, complete genome	unknown	unknown	URY/Mdeo-1/2020
Dara et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MLI/M00959/2020, complete genome	unknown	unknown	MLI/M00959/2020
Seemann et al D	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC07/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	AUS/VIC07/2020
Diarra et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/MLI/UCRC 31/2020, complete genome	unknown	unknown	MLI/UCRC31/2020
Goba et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SLE/KGH-G-8626/2020, complete genome	unknown	unknown	SLE/KGH-G-8626/2020
Goba et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SLE/KGH-G-8790/2020, complete genome	unknown	unknown	SLE/KGH-G-8790/2020
Sander et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BEN/1950/2020, complete genome	unknown	unknown	BEN/1950/2020
Ngoi et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/84162_S45/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), and ORF7a protein (ORF7a) genes, complete cds; ORF7b (ORF7b) and ORF8 protein (ORF8) genes, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	GHA/84162_S45/2020
Tramuto et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ITA/PA-IZSBM193-85_2020/2020, complete genome	unknown	unknown	ITA/PA-IZSBM193-85_2020/2020
